"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Effective Utilization of IoT for Low-cost Crop Monitoring and Automation","P. Suriyachai; J. Pansit","Department of Computer Engineering, Faculty of Engineering, Prince of Songkla University, Thailand; Department of Computer Engineering, Faculty of Engineering, Prince of Songkla University, Thailand",2018 21st International Symposium on Wireless Personal Multimedia Communications (WPMC),"13 May 2019","2018","","","246","251","The Internet of Things (IoT) has recently been a driving force behind increased production and lower cost of agricultural monitoring systems. Existing systems mostly construct wireless sensor networks (WSNs) and incorporate a gateway to bridge the networks with the Internet for remote monitoring. Some work uses sensor nodes, cloud storage and/or IoT platform to create IoT-based monitoring systems. In contrast, the crop monitoring and automation system in this paper uses an IoT cloud-based platform and open APIs to utilize many services available via the Internet. Specifically, low-cost sensor nodes form a cluster-based WSN to save energy consumption and communicate with each other through the platform. Sensed data are shown through a web application for both real-time and historical data displays. If node's power is low, a Line application message is sent to alert the user to replace batteries. A weather API is also used to obtain a weather forecast to reduce water usage. Furthermore, the Google Maps API is used to display node's location, facilitating network maintenance. The evaluation clearly shows that the system can provide real-time monitoring of temperature and humidity and control water valves. Connecting many services or technologies via the Internet thus leads to highly effective utilization of the IoT in smart farming with affordable cost.","1882-5621","978-1-5386-5757-7","10.1109/WPMC.2018.8713163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8713163","Internet of Things;IoT-based Framework;Monitoring and Automation;Precision Agriculture;Smart Farming;Wireless Sensor Networks","Cloud computing;Monitoring;Temperature measurement;Wireless sensor networks;Internet of Things;Temperature sensors","","6","","17","IEEE","13 May 2019","","","IEEE","IEEE Conferences"
"Agriculture monitoring and prediction using Internet of Things (IoT)","M. K. Saini; R. K. Saini","School of Computing, DIT University, Dehradun, Uttarakhand, India; School of Computing, DIT University, Dehradun, Uttarakhand, India","2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC)","15 Jan 2021","2020","","","53","56","Agriculture has become the most significant growing sector all over the world because of increasing the population. The main challenge in the agriculture industry is to improving farming efficiency and quality without constant physical monitoring to full fill the speedily increasing demand for the food. Apart from the mounting population, the climate circumstance is also a huge challenge in the agricultural industry. The aim of this research paper is to propose a smart farming model based on the Internet of Things using the clustering to deal with the adverse condition. in this model, we use the different types of the sensors like soil moisture, air pressure, rain detection and humidity sensors for a different purpose. The data will collect on the cloud and calculated automatically. The smart agriculture can be adopted from the crop control, collection of useful data, and analysis automatically. The purpose of this paper is how the implement the Internet of Things (IoT) in the monitoring of humidity, soil condition, temperature, and supply water to the field, level of water, climate condition. The IoT based Smart Farming System being planned via this report is integrated with different Sensors and a Wi-Fi module producing live data feed that can be obtained online.","2573-3079","978-1-7281-7132-6","10.1109/PDGC50313.2020.9315836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315836","Smart farming;IOT;Clustering;Sensors;Cloud","Agriculture;Sensors;Internet of Things;Temperature sensors;Intelligent sensors;Cloud computing;Market research","","19","","22","IEEE","15 Jan 2021","","","IEEE","IEEE Conferences"
"Smart NFT based Hydroponic System for Precision Agriculture using IoT and AI","R. Chetan; C. S. Asha; P. Raghavendra Rao; S. Suresh; Guruprasad; D. Kumar","Department of Mechatronics, Manipal Academy of Higher Education, Manipal Institute of Technology, Manipal, Karnataka, India; Department of Mechatronics, Manipal Academy of Higher Education, Manipal Institute of Technology, Manipal, Karnataka, India; Department of Mechatronics, Manipal Academy of Higher Education, Manipal Institute of Technology, Manipal, Karnataka, India; Department of Mechatronics, Manipal Academy of Higher Education, Manipal Institute of Technology, Manipal, Karnataka, India; Karmic Design Pvt. Ltd, Manipal, Karnataka, India; Dept of Electronics and Communication Engg, SMVITM, Bantakal, Udupi",2025 International Conference on Advances in Modern Age Technologies for Health and Engineering Science (AMATHE),"22 Jul 2025","2025","","","1","6","Precision agriculture (PA) presents numerous possibilities to address the growing challenges of sustainability and food security. To develop an effective PA system, it is essential to collect and analyze real-time data using Artificial Intelligence (AI) methodologies. This research integrates the Internet of Things (IoT) and AI within a Nutrient Film Technique (NFT) hydroponic system for the growth of the Holy basil plant. The aim is to create an ideal indoor environment through optimized resource management. This involves establishing an IoT-enabled framework for real-time data collection to monitor $\mathbf{p H}$, temperature, humidity, and dissolved substances, affecting both artificial conditions and plant growth rates. The AI processes these data to fine-tune the environment and perform the necessary automated adjustments within the PA system. In addition, AI-driven predictive models will anticipate plant growth patterns and ensure a robust crop management system with precise yield predictions. Addressing these areas is crucial for the successful application of IoT and AI in PA systems. The Random Forest machine learning (ML) model predicts the yield in cm with an accuracy of 97%, while XGBoost is used to predict the NPK dosing with an accuracy of 99%.","","979-8-3315-0103-7","10.1109/AMATHE65477.2025.11081252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081252","Internet of Things;Precision Agriculture;Nutrient Film Technique;Artificial Intelligence;Hydroponics System","Precision agriculture;Accuracy;Hydroponics;Crops;Predictive models;Nutrients;Real-time systems;Internet of Things;Sustainable development;Random forests","","","","15","IEEE","22 Jul 2025","","","IEEE","IEEE Conferences"
"An IoT-Enabled Tractor Data Sensing System for Precision Agriculture","V. Mahore; P. Patidar; P. Soni; H. Nagar; A. Chouriya; A. Paul","Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India; Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India; Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India; Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India; Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India; Agricultural and Food Engineering Department, Indian Institute of Technology Kharagpur, Kharagpur, India",2023 2nd International Conference on Futuristic Technologies (INCOFT),"22 Feb 2024","2023","","","1","4","Precision agriculture is an emerging field that aims to optimize agricultural operations by utilizing advanced technologies and data-driven approaches. Precision agriculture relies on data collection and analysis from the field using various sensors and devices. In this paper, we propose and implement an IoT-enabled data sensing system for tractors. This system can be envisaged as having four levels: data collection level, communication level, cloud database and analysis level, and visualization level. The system was deployed on a tractor to collect and analyze data from the field using simple and inexpensive sensors. Using a custom-built web application, the system is able to display performance data of the tractor and its associated agricultural machinery. The performance of the system is assessed by field experiments. The findings indicate that the implementation of the system has the potential to enhance the efficiency and operational capabilities of tractor and agricultural machinery within the context of Precision Agriculture. This technology has the potential to improve the efficiency, and sustainability of agricultural operations.","","979-8-3503-0884-6","10.1109/INCOFT60753.2023.10425017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10425017","Internet-of-Things;Instrumented Tractor;Data Sensing;Web Application;Precision Agriculture","Cloud computing;Web pages;Agricultural machinery;Data collection;Sensor systems;Sensors;Internet of Things","","1","","10","IEEE","22 Feb 2024","","","IEEE","IEEE Conferences"
"Fog-based WSAN for Agriculture in Developing Countries","K. T. Chew; V. Raman; P. H. H. Then","Faculty of Engineering, Computing and Science, Swinburne University of Technology, Sarawak Campus, Kuching, Malaysia; Faculty of Engineering, Computing and Science, Swinburne University of Technology, Sarawak Campus, Kuching, Malaysia; Faculty of Engineering, Computing and Science, Swinburne University of Technology, Sarawak Campus, Kuching, Malaysia",2021 IEEE International Conference on Smart Internet of Things (SmartIoT),"12 Oct 2021","2021","","","289","293","The prevalence of food insecurity has been a catalyst for the integration of Information Technology (IT) into existing agricultural practices, resulting in the concept of precision agriculture. Current research is primarily conducted in agricultural scenarios with strong IT infrastructure such as controlled greenhouse farming, making it unfeasible to replicate these systems for open-field farming in rural areas due to limited electrical and IT infrastructure. We propose a Wireless Sensor-Actuator Network (WSAN) system architecture with smart Internet of Things (IoT) base stations based on the Fog Computing paradigm. The system is designed for deployment based on the conditions of rural farms in Southeast Asia. The proposed system design has potential contributions toward remote monitoring of isolated farming locations with minimal existing IT infrastructure.","","978-1-6654-4511-5","10.1109/SmartIoT52359.2021.00053","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9556154","Fog Computing;Smart Farming;Wireless Sensor Network;Internet-of-Things;LPWAN","Wireless communication;Base stations;Wireless sensor networks;Technological innovation;Asia;Systems architecture;Developing countries","","2","","17","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Mobile Application Development of Hydroponic Smart Farm using Information Flow Diagram","M. Rukhiran; P. Netinant","Department of Social Technolog, Ragamangala University of Technology Tawan-OK, Chanthaburi, Thailand; College of Digital Innovation Technology Rangsit University, Pathum Thani, Thailand",2020 - 5th International Conference on Information Technology (InCIT),"11 Jan 2021","2020","","","150","155","The innovative technology of Internet of Things has been gradually replaced and adapted in the digital age. Precision agriculture is an important consideration to design and develop smart farm systems, automatically and accurately operating. Hydroponic smart farm is one of the challenging tasks to deal with various design and development techniques. In this research, we aim to focus on the architecture design of the hydroponic smart farm system and the user interface design using Information Flow Diagram, and to evaluate our hydroponic smart farm system based on Technology Acceptance Model (TAM). We have found a lack of farmers' Internet of Things acceptance through the smart farm system. Therefore, our propose enables to achieve the better Internet of Things system and application in a conceivable smart architecture design on mobile usage.","","978-1-7281-6694-0","10.1109/InCIT50588.2020.9310780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310780","Smart Farm;Architecture Design;Information Flow Diagram;Internet of Things;IoT","Sensors;Internet of Things;Intelligent sensors;User interfaces;Monitoring;Temperature sensors;Temperature measurement","","11","","20","IEEE","11 Jan 2021","","","IEEE","IEEE Conferences"
"Integration of the Mobile Robot and Internet of Things to Collect Data from the Agricultural Fields","H. Durmuş; E. O. Güneş","Electronics and Communication Engineering Department, Istanbul Technical University, Maslak, Istanbul, Turkey; Electronics and Communication Engineering Department, Istanbul Technical University, Maslak, Istanbul, Turkey",2019 8th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),"2 Sep 2019","2019","","","1","5","Robotics and Internet of Things (IoT) are two hot topics in the research area. There are studies in the literature that combine these two topics. In this study, robotics and IoT are used for the agricultural fields. Because, with the technology becoming more available on agriculture; food security, crop yield will be increased and the environmental hazards will be decreased. But this can be achieved by strictly monitoring the agricultural fields and greenhouses. For these purposes, static sensors or sensor networks, and mobile agents are used. IoT forms the backbone of such systems because there are too many units in different places and a lot of data is coming out from these units. Also, processing this data reveals the big data problem. Purpose of this work is integrating the mobile robot platform to gather data from the agricultural fields or greenhouses and then post this gathered data to the web application. So that, data can be stored, processed, and classified on the web application or cloud. This study proposes a design scheme for the mobile internet of things concept where the client or the agent is the mobile robot whether it is autonomous or not. Furthermore, the design structure is not limited to the mobile ground vehicle. Any type of unmanned vehicle or static sensor can be integrated into the system. Internet connection is not limited to only Wi-Fi, there is also a cellular connection in the system. With this study, mobile data acquisition and transferring this acquired data to the web application can be done. Also, the infrastructure of the mobile agent-based internet of things system is shown. On the robot side, autonomy can be added to the system.","","978-1-7281-2116-1","10.1109/Agro-Geoinformatics.2019.8820578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820578","robotics;internet of things;cloud;data acquisition;precision agriculture;smart farming","Robot sensing systems;Servers;Sensor systems;Temperature sensors;Agriculture","","16","","13","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"A Smart Home Agriculture System Based on Internet of Things","V. K. Akram; M. Challenger","International Computer Institute, Ege University, Izmir, Bornova; University of Antwerp and Flanders Make, Flanders, Belgium",2021 10th Mediterranean Conference on Embedded Computing (MECO),"1 Jul 2021","2021","","","1","4","Internet of Things (IoT) has a growing application in agriculture and smart farming. Different monitoring, controlling and tracking systems have been proposed for increasing the efficiency and quality of agricultural products. While most of the existing systems focus on industrial farming, many people would like to create their own small-scale farms at home to produce organic products for their daily consumption. However, due to the lack of agricultural knowledge and infrastructures, people usually unable to produce healthy agricultural products at home. This paper proposes an IoT-based system for home agriculture to create small-scale farms in indoor locations. The proposed system uses ESP-32 devices and connected sensors to measure different quantities of the soil and air conditions to create a more suitable environment for growing the plants. Using the mobile application, the users can connect and configure the sensing devices over Bluetooth connections. The sensed data are sent to a web server over a WiFi connection. The web server stores the received data and provides real-time reports about the environment and plants. Based on the received data and the plant requirements, the webserver may send notification messages to the user's mobile phone.","2637-9511","978-1-6654-3912-1","10.1109/MECO52532.2021.9460276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9460276","Internet of Things;Embedded Systems;Web Application;Smart Agriculture","Soil measurements;Smart homes;Soil;Web servers;Agricultural products;Sensor systems;Real-time systems","","13","","17","IEEE","1 Jul 2021","","","IEEE","IEEE Conferences"
"An IoT Platform for Urban Farming","E. -K. Tan; Y. -W. Chong; M. Niswar; B. -Y. Ooi; A. Basuki","National Advanced IPv6, Centre Universiti Sains Malaysia, Penang, Malaysia; National Advanced IPv6, Centre Universiti Sains Malaysia, Penang, Malaysia; Department of Informatics, Hasanuddin University, Makassar, Indonesia; Faculty of Inofmration and Communication Technology, Universiti Tunku Abdul Rahman, Kampar, Malaysia; Faculty of Computer Science, Brawijaya University, Malang, Indonesia",2020 International Seminar on Intelligent Technology and Its Applications (ISITIA),"11 Aug 2020","2020","","","51","55","Technologies such as Internet of Things (IoT) and big data have been widely adopted to improve quality of life. In this paper, an IoT platform is proposed to automate urban farming process by embodiment of IoT, big data and cloud computing. The IoT platform is designed so that users especially farmers can monitor the growing environment and the nutrient can be adjusted automatically without human intervention. The platform utilises pH, total dissolved solids (TDS), oxidation reduction potential (ORP) and temperature data to regulate the optimum concentration of the nutrient solutions. The growth rate of the plant is monitored continuously using camera. The proposed system uses a WiFi-based network and Message Queuing Telemetry Transport (MQTT) protocol to send sensor data from IoT device to server hosted in the cloud. Web and mobile based user application is included in the platform to allow users to monitor the urban farm anytime, anywhere.","","978-1-7281-7413-6","10.1109/ISITIA49792.2020.9163781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163781","Internet of Things (IoT);precision agriculture;urban farming;wireless sensor network;cloud computing","Agriculture;Temperature measurement;Temperature sensors;Monitoring;Servers;Cloud computing;Robot sensing systems","","13","","12","IEEE","11 Aug 2020","","","IEEE","IEEE Conferences"
"Research and Design of Sensor Data Management System Based on Distributed Storage","J. Yang; X. Chi; M. Zhu; W. Wang","MoE Engineering Research Center for Software/Hardware Co-design Technology and Application, East China Normal University, Shanghai, China; MoE Engineering Research Center for Software/Hardware Co-design Technology and Application, East China Normal University, Shanghai, China; MoE Engineering Research Center for Software/Hardware Co-design Technology and Application, East China Normal University, Shanghai, China; MoE Engineering Research Center for Software/Hardware Co-design Technology and Application, East China Normal University, Shanghai, China",2020 International Conference on Computer Science and Management Technology (ICCSMT),"3 Jun 2021","2020","","","128","132","Sensor data is one of the basic source of big data in the Internet of Things(IoT). It is the data that is sensed, measured, and transmitted by sensors with real-time and dynamic characteristics. With the development of the IoT and big data technologies, new industries such as smart transportation, smart cities, and smart agriculture have gradually formed, resulting in an increasing demand for large-scale data analysis and calculations. However, the storage architecture based on relational databases has been unable to meet the current needs in terms of data storage and data read and write speed. Therefore, this paper mainly studies the sensor data management system based on distributed storage, builds a Hadoop cluster, proposes a storage structure that combines the relational database MySQL with the distributed database HBase, designs a data migration module to satisfy real-time sensor data monitoring and massive data storage requirements. In order to meet the needs of enterprises in actual production, SSM framework technology is used to build a sensor data management platform, covering the functions of system management, sensor data management, data exception management, sensor data real-time monitoring, sensor node status monitoring, data statistical analysis, etc. The platform has good security and reliability, and can effectively improve the management efficiency of the enterprise. Finally, the experiment provides that the system has obvious advantages in data upload and query ability compared with the traditional storage architecture. It provides a good data environment for data analysis and data mining in the future.","","978-1-7281-8668-9","10.1109/ICCSMT51754.2020.00032","East China Normal University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443971","sensor data;distributed storage;HBase;SSM","Data analysis;Statistical analysis;Distributed databases;Memory;Relational databases;Big Data;Real-time systems","","2","","12","IEEE","3 Jun 2021","","","IEEE","IEEE Conferences"
